site,mse,rmse,r2_score,relative_error,mae
CA-Gro,0.00017671728,0.013293505,0.7701255083084106,0.013296461,0.007122642
CA-LP1,0.00010637735,0.010313939,0.531863808631897,0.0114849135,0.005970669
CA-NS1,7.040755e-05,0.00839092,0.8281405568122864,0.009403971,0.0049480507
CA-NS2,8.096743e-05,0.00899819,0.7672541737556458,0.008838784,0.004681813
CA-NS3,5.2577194e-05,0.007251013,0.8040220737457275,0.007440016,0.0038929775
CA-NS4,9.929791e-05,0.009964834,0.5080680847167969,0.010098859,0.0052942224
CA-NS5,4.6371242e-05,0.0068096435,0.8944474458694458,0.006827479,0.0036306342
CA-NS6,8.5261614e-05,0.0092337215,0.5439441800117493,0.008432019,0.0044332794
CA-NS7,4.5931214e-05,0.006777257,0.7683933973312378,0.0068585416,0.0035703317
CA-Oas,9.9253775e-05,0.009962619,0.911143958568573,0.009400946,0.0051216264
CA-Obs,5.688538e-05,0.0075422395,0.862811803817749,0.007177636,0.0038327717
CA-Qfo,0.00011130075,0.010549917,0.602414071559906,0.010936167,0.005754489
CA-SF1,0.00018631143,0.013649595,0.8197876214981079,0.016621847,0.008904728
CA-SF2,0.00041108154,0.020275146,0.7738809585571289,0.02415291,0.013356487
CA-SF3,0.000393153,0.019828087,-0.0838643312454223,0.0237189,0.012406361
CA-TP1,0.00028997415,0.017028628,0.5896508693695068,0.016209202,0.008740526
CA-TP4,0.00021482914,0.01465705,0.8362782001495361,0.015891703,0.008554291
CA-TPD,0.00022786601,0.015095231,0.8469010591506958,0.016855791,0.00907744
CH-Aws,0.0008413254,0.02900561,0.5954388976097107,0.026530556,0.015019728
CH-Cha,0.0011396442,0.033758618,0.6399929523468018,0.036027174,0.020847235
CH-Dav,0.00038442007,0.019606633,0.6415077447891235,0.022149472,0.011662018
CH-Fru,0.00044963747,0.021204656,0.8080933094024658,0.021689119,0.012235265
CH-Lae,0.0012494233,0.035347182,0.479469895362854,0.03922782,0.020351091
CH-Oe1,0.0007452132,0.027298594,0.606647253036499,0.025885865,0.0150906
CH-Oe2,0.0007046285,0.02654484,0.5480633974075317,0.026988827,0.014945136
CN-Cha,0.00019829694,0.014081795,0.8752904534339905,0.014148086,0.007884191
CN-Cng,6.079504e-05,0.0077971173,0.777766764163971,0.007706518,0.004074582
CN-Dan,1.7138595e-05,0.004139879,0.7474210262298584,0.0045083957,0.0023161415
CN-Din,0.0003473829,0.01863821,0.5835298299789429,0.020033576,0.010872067
CN-Du2,5.299787e-05,0.0072799637,0.4085124731063843,0.0077363118,0.003959707
CN-Du3,4.435005e-05,0.006659583,-1.1964566707611084,0.008996475,0.0044725523
CN-Ha2,6.688922e-05,0.008178582,0.8747981190681458,0.008287096,0.004430135
CN-HaM,0.00015518953,0.012457509,0.6173774600028992,0.012766603,0.0067669214
CN-Qia,0.00019176211,0.0138478195,0.8461596369743347,0.015363701,0.008457861
CN-Sw2,0.00016443372,0.012823171,-0.1350795030593872,0.016883032,0.008417671
CZ-BK1,0.0002529391,0.01590406,0.8627140522003174,0.016407916,0.009131343
CZ-BK2,0.0002880126,0.016970934,0.6746320724487305,0.017041212,0.009137345
