site,ensemble_mse_scaled,full_mse_scaled,G_hat_count,O_hat_count,ensemble_rmse
US-OWC,0.0015375196558994,0.0016571829,259,52,0.039211218495468866
US-Oho,0.0011613303978639,0.0011653852,257,52,0.03407829804822858
US-Prr,0.0005630223264949,0.0005620478,257,52,0.023728091505532
US-Ro1,0.0013827470351361,0.0014151937,257,52,0.0371853067102599
US-Ro4,0.0009216353580613,0.0009815707,257,52,0.030358447886235884
US-Ro5,0.0017745222219103,0.0018353973,257,52,0.04212507830153316
US-Ro6,0.0029235027407498,0.0028827467,257,52,0.05406942519344736
US-SRC,0.0008063749930401,0.00081581017,257,52,0.02839674264841128
US-SRG,0.0014641968751603,0.0015143033,257,52,0.03826482556030146
US-SRM,0.0007570709411246,0.0007455361,257,52,0.027514922153707794
US-Seg,0.0014648107263099,0.001452444,257,52,0.03827284580887473
US-Ses,0.0017645600646984,0.0017741416,257,52,0.04200666690774692
US-Sne,0.002154962181334,0.0021277592,257,52,0.04642157021616137
US-Snf,0.0063290606513352,0.006322644,263,56,0.07955539360304366
US-Syv,0.0025508719683428,0.0025600975,257,52,0.050506157726982165
US-Ton,0.000386140636023,0.0003844531,259,52,0.0196504614709935
US-Tw3,0.0055979237682296,0.005766238,257,52,0.07481927404238563
US-Tw4,0.0050665787637891,0.0050499225,257,52,0.07117990421312113
US-Twt,0.0017948152574767,0.0018264411,259,52,0.04236526003079292
US-Var,0.0002947275957512,0.00029763015,257,52,0.017167632211554394
US-WCr,0.0009127667573868,0.00097618543,257,52,0.030212030011020442
US-WPT,0.0014750752979777,0.0015374126,257,52,0.03840670902300404
US-Whs,0.0008720485313112,0.00087765744,257,52,0.029530467847821172
US-Wi0,3.640013064156623e-05,5.618304e-05,259,52,0.006033252078404003
US-Wi1,0.0010206377461534,0.00104111,259,52,0.03194742158850069
US-Wi2,0.0005461715970901,0.0007794407,259,52,0.02337031444140408
US-Wi3,0.0016443038499034,0.0017281614,259,52,0.04055001664492137
US-Wi4,0.0019237160835561,0.0019784137,259,52,0.043860187910633716
US-Wi5,0.0001014924112643,0.00010811141,259,52,0.010074344210135963
US-Wi6,0.0009921828378497,0.0009768059,259,52,0.03149893391608199
US-Wi7,0.0012987163893064,0.0022577525,259,52,0.03603770788086279
US-Wi8,0.0012304965526699,0.0011827463,259,52,0.035078434296158374
US-Wi9,0.002690418244578,0.0028839032,259,52,0.05186924179682985
US-Wjs,0.0009268861502452,0.0009212543,257,52,0.03044480497958888
US-Wkg,0.001278606646643,0.0012872061,257,52,0.03575760963267819
US-xAE,0.002275181229017,0.0022724571,257,52,0.04769885982931877
US-xBR,0.0007988595337626,0.0008157971,257,52,0.02826410327186412
US-xCL,0.0003630946377571,0.00036607255,257,52,0.019055042318428476
US-xCP,0.0005592124689767,0.00055736466,257,52,0.023647673648304182
US-xDC,0.0009348370822247,0.00099866,257,52,0.030575105596296802
US-xDL,0.0017332506802684,0.0017425651,257,52,0.041632327346287044
US-xDS,0.0009747701610645,0.0009542137,257,52,0.031221309406629632
US-xGR,0.0032520727769107,0.0033340068,257,52,0.057026947813386436
US-xHA,0.0015270558636751,0.0015793834,257,52,0.0390775621511258
US-xHE,0.000381778640078,0.00038940986,257,52,0.01953915658563593
US-xJE,0.0015030683167775,0.0015373477,257,52,0.038769425025108384
US-xKA,0.0035545441449421,0.0037724827,257,52,0.059619997860970275
US-xKZ,0.0009318801151371,0.00092702964,257,52,0.030526711502176253
US-xMB,0.0026481738784079,0.0020748822,257,52,0.05146041078739947
US-xML,0.000274242525626,0.00027236124,257,52,0.016560269491345845
US-xNG,0.0003447293777515,0.00036441418,257,52,0.018566889285809296
US-xNQ,0.0014487487855065,0.0015082243,257,52,0.03806243273237406
US-xRM,0.0019567134546372,0.0019303832,257,52,0.044234753923099876
