site_left_out,mse_scaled,rmse_scaled,r2_scaled,mae_scaled,relative_error
CA-ARB,1.9477813e-05,0.0044133677,0.8043317198753357,0.0029730615,0.00578653
CA-ARF,5.0718576e-05,0.0071216975,0.7477411031723022,0.004346085,0.008294134
CA-DB2,0.000101022284,0.010050984,0.0829252004623413,0.006416382,0.012587329
CA-DBB,0.00012551348,0.01120328,-0.0397106409072876,0.0070783426,0.013915666
CA-Gro,0.00017285054,0.013147264,0.7750421166419983,0.006887072,0.012806445
CA-LP1,7.541865e-05,0.008684391,0.6681172847747803,0.0054313135,0.010522285
CA-NS1,5.4713084e-05,0.0073968293,0.8664726614952087,0.004595576,0.008743709
CA-NS2,5.799588e-05,0.0076155025,0.8332993984222412,0.0045915237,0.008763624
CA-NS3,6.281401e-05,0.007925529,0.7658669948577881,0.004599556,0.008864215
CA-NS4,6.284528e-05,0.007927502,0.6887301802635193,0.0049303863,0.009496905
CA-NS5,4.532697e-05,0.006732531,0.8967427611351013,0.0037952054,0.0071510207
CA-NS6,8.480518e-05,0.009208973,0.5464440584182739,0.00482197,0.009225002
CA-NS7,5.093468e-05,0.0071368534,0.7431771755218506,0.004073063,0.007785124
CA-Oas,0.00021213043,0.014564698,0.8100983500480652,0.0085486425,0.015909921
CA-Obs,6.8115405e-05,0.008253206,0.8357331156730652,0.004550298,0.008581004
CA-Qfo,0.00010867779,0.0104248645,0.6118074655532837,0.0065007084,0.012449234
CA-SF1,0.00021180537,0.014553535,0.7951332926750183,0.009538845,0.017691614
CA-SF2,0.0005949122,0.024390822,0.6727803945541382,0.016234249,0.028919205
CA-SF3,0.0002936821,0.017137155,0.1902596950531005,0.011341583,0.02185211
CA-TP1,0.00021796605,0.014763674,0.6915684938430786,0.008193183,0.015127699
CA-TP4,0.000243567,0.015606633,0.8143814206123352,0.009660905,0.017908238
CA-TPD,0.00018704071,0.013676283,0.8743410110473633,0.008391549,0.015463372
CH-Aws,0.0007536384,0.027452474,0.6376283168792725,0.014709045,0.026681442
CH-Cha,0.0010049718,0.03170129,0.6825349926948547,0.019826999,0.034658134
CH-Dav,0.00039790448,0.019947544,0.6289393305778503,0.012379316,0.023510752
CH-Fru,0.0005336021,0.023099829,0.7721972465515137,0.013706215,0.024869785
CH-Lae,0.0013805112,0.03715523,0.424859344959259,0.02177979,0.04190874
CH-Oe1,0.0012052208,0.03471629,0.3638782501220703,0.017797463,0.030850932
CH-Oe2,0.0007693667,0.02773746,0.506557047367096,0.015312784,0.02743892
CN-Cha,0.00035852546,0.018934768,0.7745552062988281,0.010907026,0.019481363
CN-Cng,6.683984e-05,0.008175564,0.7557110786437988,0.0050803674,0.009749543
CN-Dan,4.174051e-05,0.0064606895,0.3849936127662658,0.0041456516,0.008079538
CN-Din,0.00040284812,0.020071076,0.5170941352844238,0.012018835,0.022319268
CN-Du2,0.000112655325,0.010613921,-0.2568691968917846,0.00511737,0.0099220835
CN-Du3,4.5436736e-05,0.0067406776,-1.253512620925903,0.004588763,0.009223487
CN-Ha2,9.681437e-05,0.0098394295,0.8188138008117676,0.0056367638,0.010597247
CN-HaM,0.000110177774,0.0104965605,0.7284092903137207,0.005977969,0.011480182
CN-Qia,0.00023544,0.015344054,0.8111403584480286,0.009290333,0.01678401
