site_left_out,mse,rmse,r2,relative_error,mae
PA-SPs,0.0009944395854189,0.0315347361717029,0.6075954052996544,0.0415570480870155,0.0233293353953836
RU-Che,0.0001786292888724,0.0133652268545065,-0.607925867136452,0.0206776473287729,0.0105034058786644
RU-Cok,0.0002028503399653,0.0142425538428087,-0.1311453987655506,0.0202878476525259,0.0103934780037728
RU-Fy2,0.0004866474161885,0.0220600864954914,0.6795766269418237,0.0287843705039032,0.0155766768103629
RU-Fyo,0.0003335552608152,0.0182634953066276,0.712004611693811,0.0248705477416595,0.013314975222275
RU-Ha1,0.0001315986145336,0.0114716439333534,0.5135674139357738,0.0180536885982373,0.0092948528540117
SD-Dem,0.000522338082798,0.0228547168610348,-0.3521501963334805,0.0387317998367394,0.0198948835244198
SE-Deg,0.0002824742284047,0.0168069696377658,-4.191255463861402,0.0237414083839383,0.0121096937370517
SE-Htm,0.0007202347046063,0.0268371888357619,0.6091698009540959,0.0334583936484284,0.0186609697816019
SE-Lnn,0.0003695805435532,0.0192244777186079,0.5559556202448166,0.0246699689020661,0.0131536036902164
SE-Nor,0.0002663237181924,0.0163194276306636,0.7233845142901625,0.0218352676319752,0.0116911090655606
SE-Ros,0.0001273007712045,0.0112827643423304,0.7499869563047734,0.0170366020536724,0.0088574059692521
SE-Svb,0.0001888688998076,0.0137429581898391,0.7318787268057301,0.0198349837045871,0.0104443833427584
SJ-Adv,0.0001104825810689,0.0105110694541008,-0.1602228774821184,0.018177416914866,0.0092412666271527
US-A32,0.0009359818608694,0.0305938206321059,0.47015364833899,0.0318784839698271,0.0181416036195809
US-AR1,0.0003775077490885,0.0194295586436893,-0.580435919421761,0.0300755864537604,0.0153449020946491
US-AR2,0.0004716796391223,0.0217181868286083,-2.863394094816919,0.0332223862139593,0.0167963102544436
US-ARM,0.0005281543341395,0.0229816086064388,0.4103255332548733,0.0291000999194021,0.0155882564615503
US-ARb,0.0006245953256412,0.024991905202309,0.5040852182556494,0.0312480928237286,0.0167935894672587
US-ARc,0.0004431849875167,0.0210519592322614,0.5913030044681548,0.0283117730764237,0.0151251783025051
US-Atq,0.0001938563349758,0.0139232300482281,-2.9736490756607816,0.0226501882915983,0.0114305774169343
US-BZB,0.0001256900845149,0.0112111589282705,0.2889955012102736,0.0180000704771616,0.0091939612135935
US-BZF,0.000167141236037,0.0129283114147616,0.3703930780167194,0.0193534665632076,0.0098899734306162
US-BZS,0.0001369900695412,0.0117042756948599,0.6819788608687378,0.0177275445703156,0.0091681551949827
US-BZo,0.0002085361005707,0.0144407790846175,0.0573575071052572,0.0216212815702575,0.0110169473342147
US-Bi1,0.0013594358128294,0.0368705276993622,0.48640655105008,0.0352264053889965,0.0209785335080745
US-Bi2,0.0021589923984582,0.046464958823378,0.4014468480385482,0.0446737528373711,0.0262060082597227
US-Blo,0.0002191251565554,0.0148028766310954,0.7803674875138892,0.020180843870104,0.0108880353409636
US-CF1,0.0005689322203207,0.0238523001054563,0.4125905276046284,0.0312010680656885,0.0166392243360893
US-CF2,0.0004668354337423,0.0216063748403648,0.4533684283049631,0.0303495599502252,0.0160468019131457
US-CF3,0.0006249503931759,0.0249990078438307,0.3646678916660876,0.0314013832131483,0.0168338891653344
US-CF4,0.0006486442984443,0.0254684961951881,0.3774720477013684,0.0338671895822354,0.0180393426540544
US-CRT,0.0012411107113752,0.0352294012349798,0.2286885026294419,0.0415181976994198,0.0223447184392782
US-CS1,0.0006697183001407,0.0258789161314902,0.4743870776938886,0.0302581920374714,0.0164218904859448
US-CS3,0.0008437641001361,0.029047617804842,0.4908256107869313,0.0313795009900819,0.0175015157294242
US-CS4,0.000789817748156,0.0281036963432944,0.5290806620738951,0.0310145225425874,0.0172982816261078
US-EDN,0.0002625293325881,0.0162027569440569,-0.2817298558326777,0.0263515499876674,0.0135292792445507
US-GLE,0.0002865652447843,0.0169282380886001,0.2880414900062086,0.0251057692991025,0.0128386727189169
US-Goo,0.0003943101212314,0.019857243545655,0.6766747879333515,0.027091737645338,0.014473571313464
US-HB1,0.0005536870036526,0.0235305546822133,-0.1266148439264511,0.0346111675628797,0.0178235660338748
US-HWB,0.0013596162482226,0.0368729744965426,0.4767523592921328,0.0494365711227516,0.0215705370976602
US-Hn3,0.0001790899216553,0.0133824482683611,-0.0550211108742666,0.0232966007839313,0.0118867985939945
US-Ho2,0.0005730411163801,0.0239382772224774,0.5789857776466765,0.0353751737485669,0.0187643007061106
US-IB2,0.0004958851106341,0.0222684779595322,0.5929372538204343,0.0281956351673382,0.0152490222826424
US-ICs,0.0002101889849178,0.0144978958789829,-2.7488937297654705,0.0208742129831606,0.0105784575790269
US-ICt,0.0002283281387457,0.0151105307234978,-3.2785802918302496,0.0218156219711585,0.0110350049332703
US-Ivo,0.0001838624346256,0.0135595882911552,-0.9488179059732552,0.0211314225353526,0.0107109245223163
US-Jo2,0.0003527928466513,0.0187827805889156,-3.78262547028318,0.0324018955411588,0.0164381192972846
US-KFS,0.0003755503737566,0.0193791221100613,0.5673300510704202,0.025330699571147,0.0133462862820138
US-KLS,0.000559114611011,0.0236456044754843,0.4027623227840269,0.0293913510959084,0.015735075988133
US-KS1,0.000215044743657,0.0146644039652836,0.8163887029619123,0.0196238591707097,0.0106146228949005
US-KS2,0.0002150935147489,0.0146660667784161,0.7967767894178759,0.0177807411637095,0.0097178333673523
US-KS3,0.0002087167402213,0.0144470322288464,0.7455690372950092,0.0156162168224549,0.0084056944682002
US-LWW,0.0006578511526372,0.0256486091754935,-1.2181066776447325,0.0356713732804022,0.0178410664688718
US-Lin,0.0004489166893489,0.0211876541728663,-1.4936090430540605,0.0296929527430448,0.015174889899426
US-Los,0.0003311955228603,0.0181987780595375,0.5463137969359174,0.0269588337045893,0.0139125320780059
US-MOz,0.0005331136322369,0.0230892536093504,0.625063284402785,0.0313590344042862,0.0167115832972794
US-Me1,0.0002142044217561,0.0146357241623427,-1.2840276665790102,0.0243309547573815,0.0123946848042532
US-Me2,0.0002702687008609,0.0164398509987446,0.7295229573301315,0.0212566842505076,0.0114758996916907
US-Me3,0.0001966915610495,0.0140246768607905,0.2462922706281844,0.0192511003977395,0.009975118685818
US-Me4,0.000614405573594,0.0247872058448311,0.3028784263663774,0.0325059446219001,0.0172721040703468
US-Me5,0.0001601232311124,0.0126539808405271,0.4170965793197272,0.0163922394557018,0.0085402957255696
US-Me6,0.0002171266040015,0.0147352164558781,0.4507870659920113,0.0195552302931401,0.0101858125248185
US-Mpj,0.0003284294481845,0.0181226225526136,-1.653388332498151,0.0276246564429715,0.01415695061833
US-Myb,0.0004899740621303,0.0221353577366706,0.574565212338066,0.025914554994265,0.0141159148149776
US-NC1,0.0007762117101184,0.0278605762703934,0.6300251860838512,0.0347967048953288,0.0193645340454128
US-NC4,0.0010821752149643,0.0328964316448506,0.5154069399428001,0.0392525431297817,0.0214577154689903
US-NR1,0.0002768103830685,0.0166376195132771,0.4068690972674341,0.0227736658472606,0.0117269663375897
US-ONA,0.0007591734546127,0.027553102449864,0.3683826241535535,0.0405091691049745,0.0219815709349808
US-OWC,0.0006713541527741,0.0259105027503157,0.5261301166618297,0.0338518206717465,0.0183558334202569
US-Oho,0.0009108910279682,0.0301809712893453,0.6013518083342007,0.0378218159586848,0.0209685496003408
US-Prr,0.0002306081216331,0.0151857868295708,-0.8472423472072157,0.025281001237306,0.0128651551347409
US-Ro1,0.0011053656456082,0.0332470396517985,0.3692643875834233,0.0361453750942339,0.0198615520130688
US-Ro4,0.0006626761105574,0.0257424961990369,0.5391014726413085,0.0327176173544702,0.0177268200759237
US-Ro5,0.0011272258442391,0.0335741841932028,0.4179061296164321,0.0364251179777553,0.0201676795531118
US-Ro6,0.0005639658638631,0.0237479654678694,0.4967786953507672,0.0317711101794558,0.0170104067456314
US-SRC,0.0005062256603408,0.0224994591121844,-18.842672816549577,0.0381762157075773,0.0192890836895939
US-SRG,0.0004811100763662,0.0219342215810429,-1.2191742600922169,0.035509481170262,0.0180915408585159
US-SRM,0.0005182384685028,0.0227648516029172,-4.146398826721372,0.0373823068394709,0.0189185426296215
US-Seg,0.0005270248030044,0.0229570207780645,-11.99057437441113,0.0387483158143204,0.0195791692609523
US-Ses,0.0005670887376133,0.0238136250414206,-33.97117065347611,0.0403259286304956,0.0203600070064558
US-Sne,0.0004381359856368,0.0209316981068637,-0.0641273708304408,0.0264742618298183,0.0137576931286527
US-Snf,0.00025837567756,0.0160740684818757,0.7452613487363394,0.0199610083283096,0.010889387384392
US-Syv,0.000486199401461,0.0220499297382344,0.5825245117845905,0.0311309939946953,0.0163576279363198
US-Ton,0.0003669156521501,0.0191550424732016,0.2613716869381766,0.0258819058026743,0.0133561771292746
US-Tw3,0.0011154022730895,0.0333976387352394,0.5102585624993767,0.0335340559561615,0.0197247053602168
