site_left_out,mse,rmse,r2
US-xJE,0.0005382878715644,0.0232010316918124,0.6747534720295472
US-xKA,0.0004695324912273,0.0216686984202419,0.3778598526100603
US-xKZ,0.0003737457709581,0.0193325055530362,0.599650747733821
US-xMB,0.0005689839573221,0.0238533846093618,-64.0501175687145
US-xML,0.0004820577742862,0.0219558141339882,0.2546996780023842
US-xNG,0.0002348819228675,0.0153258579814498,0.1122037556968172
US-xNQ,0.0004359568864064,0.0208795806089686,-18.094896949358336
US-xRM,0.0002597990809924,0.0161182840585605,-0.0758085470025391
US-xSB,0.0001292893137326,0.0113705458854271,0.8098053585641964
US-xSE,0.0006589150258415,0.0256693401910042,0.590573761837117
US-xSR,0.0004871182372536,0.0220707552488286,-12.499910968004832
US-xST,0.0004604934037421,0.0214591100407773,0.6571126618925133
US-xTA,0.0004142899544115,0.0203541139431697,0.7166366873437533
US-xTR,0.0004733631177457,0.021756909655228,0.6031232669572115
US-xUK,0.0005387961386935,0.0232119826532231,0.6404918469690547
US-xUN,0.000411858394529,0.0202942946299949,0.609764645919623
US-xYE,0.0002502185426126,0.0158182977153865,0.1354172752036523
ZM-Mon,0.0003809923339811,0.0195190249239334,0.6474992433171033
