site,mse,r2,relative_error,mae,rmse
SE-Lnn,0.00042490046865952344,0.9656856483488317,0.6022013590080555,0.009581660670467968,0.020613113997150538
SE-Nor,0.000870742621974368,0.9279262902811523,0.695253642899238,0.01839441929658389,0.029508348343720764
SE-Ros,0.0006056081943893702,0.9575148048124598,1.5785954038444299,0.014676112625345171,0.024609107955985934
SE-Svb,0.0010047634803495061,0.9416012449407936,1.9297624984485917,0.018470316070965113,0.03169800435909974
SJ-Adv,0.0012045223212680345,0.8819858858657392,1.6094160865506268,0.018268523859780908,0.03470622885402611
US-A32,0.0009043077353330008,0.9268695926888306,2.8008234168553128,0.01746332793444509,0.030071709883759533
US-AR1,0.0005996555185578096,0.7936371208254812,4.430788477748154,0.013994069802576177,0.024487864720261127
US-AR2,0.001454709709014438,0.6607059476579993,1.8869280723120274,0.020707781398967832,0.03814065690328941
US-ARM,0.0011694196318866902,0.777166811565412,2.2125059727191405,0.019787857595183398,0.034196778092192986
US-ARb,0.000517461409111474,0.9571496485486599,0.7901654519020922,0.01303971418868456,0.022747778113729567
US-ARc,0.00074370131294278,0.9552304458471881,0.7801455393315148,0.01595065125015079,0.027270887644937045
US-Atq,0.0010916188952758215,0.9134801915248889,1.4889261954967057,0.01959344860641001,0.03303965640371918
US-BZB,0.00022815772014507326,0.9303711334705657,1.008229943968502,0.008111015961755128,0.015104890603545371
US-BZF,0.0005114029061229291,0.8905138334608489,1.7308913975151865,0.012937975557621722,0.022614219113710938
US-BZS,0.00036191423423155274,0.8908313300352103,2.7182928110740447,0.010500255196937949,0.019024043582570788
US-BZo,0.0008844543918909484,0.7378533389653185,1.0776830053093467,0.013570167781695461,0.029739777939502984
US-Bi1,0.0029669104216275615,0.8661160694342699,1.4743668137688521,0.030680642182719566,0.05446935304946775
US-Bi2,0.0005814439029457196,0.9625083201102451,0.5678561754815737,0.013812871570607347,0.024113147926924008
US-Blo,0.0010210939554696678,0.9421511947049821,1.1429882996059446,0.020328956569044005,0.031954560792939526
US-CF1,0.0003630574599309687,0.9647897908759365,0.6141439342350467,0.009109303719805598,0.01905406675570779
