test_site,ensemble_mse_scaled,full_mse_scaled,ensemble_rmse_scaled,full_rmse_scaled,ensemble_r2,full_r2,ensemble_relative_error,full_relative_error,ensemble_mae,full_mae,G_hat_count,O_hat_count,O_hat
US-Me6,0.0005841127371717,0.0005868834,0.0241684243833084,0.024225676,0.3821127801799985,0.3791819214820862,0.0374632870984268,0.037721906,0.0157416903549598,0.015844533,14,2,"[['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
US-Mpj,0.0001688372192631,0.0001688372,0.0129937376941026,0.012993737,0.4295576893571636,0.4295578002929687,0.020326746941342,0.020326745,0.0082658278834495,0.008265828,14,2,"[['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
US-Ses,0.0001047884765055,0.00010478849,0.0102366242729495,0.010236625,-1.7024489542345989,-1.7024495601654053,0.0175591707419692,0.01755917,0.0067270796522893,0.0067270785,14,2,"[['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
US-Ton,0.0005214045446107,0.0005216927,0.0228342844120568,0.022840593,0.56104566804971,0.5608030557632446,0.0336631123757504,0.03356998,0.0131417016284466,0.013110118,14,2,"[['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
US-WCr,0.000825475556011,0.00082547555,0.028731090407624,0.028731091,0.7465153341493285,0.7465153932571411,0.0398801147147129,0.039880116,0.016541529441548,0.01654153,14,2,"[['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
US-Wi3,0.0012029367551992,0.0012005736,0.0346833786589371,0.034649294,0.7403690457212524,0.7408790588378906,0.0493264824211643,0.049295485,0.0208615560818893,0.02084948,14,2,"[['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
US-Wi5,0.0008954338183795,0.0008881001,0.0299238001994991,0.02980101,0.6512931132438377,0.654149055480957,0.0403253825412149,0.04027106,0.0160484486424031,0.016002472,14,2,"[['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
US-xCP,0.0001235479780983,0.0001280603,0.0111152138125348,0.011316373,0.4537957981255865,0.4338468909263611,0.0164720409526655,0.017803356,0.0065392739206338,0.00704249,14,2,"[['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
US-xDL,0.0015509475072574,0.0015547243,0.0393820708858419,0.039429992,0.707043262075538,0.7063298225402832,0.0547490459747836,0.054562744,0.0240798864686668,0.024016684,14,2,"[['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
US-xDS,0.0005584417024121,0.000557762,0.0236313711496416,0.023616984,0.6322379904464046,0.632685661315918,0.0395709803818469,0.039849315,0.016145865247551,0.016246198,14,2,"[['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
US-xSB,0.0004583523660759,0.00045835238,0.0214091654689278,0.021409165,0.7180189439402074,0.7180188894271851,0.0360165103982109,0.03601651,0.0149733091464222,0.014973309,14,2,"[['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
