site_id,mse,rmse,r2,relative_error,mae
IT-Noe,0.000452653679531,0.0212756593207136,0.07123863697052,0.0314235389232635,0.0161804538220167
IT-PT1,0.000685837760102,0.0261885043502297,0.6290971040725708,0.0328864268958568,0.0181133951991796
IT-Ren,0.0005701442132703,0.0238776927962145,0.5327836871147156,0.0331555902957916,0.0175758376717567
IT-Ro1,0.0005548411863856,0.0235550671063701,0.520578145980835,0.0299869980663061,0.0160662215203046
IT-Ro2,0.0008282379712909,0.0287791238798359,0.4062801003456116,0.0382429026067256,0.0203960202634334
IT-SR2,0.0010203884448856,0.0319435196070441,0.551489531993866,0.042297288775444,0.0235284063965082
IT-SRo,0.0013296882389113,0.0364648904963573,0.1203159093856811,0.0463779531419277,0.0249079540371894
IT-Tor,0.0004047839902341,0.0201192442759199,0.456869900226593,0.0305195804685354,0.0156290829181671
JP-SMF,0.0004144036211073,0.0203569059807068,0.5859300494194031,0.0302368775010108,0.0157174300402402
MX-Tes,0.0008555377717129,0.0292495772911847,-8.538430213928223,0.0427764989435672,0.0216665938496589
MY-PSO,0.0009320677490904,0.0305297846224059,0.5809580683708191,0.0502002872526645,0.026383314281702
NL-Hor,0.0015207772376015,0.0389971439672391,-0.4658161401748657,0.0414465740323066,0.0220748893916606
NL-Loo,0.0008748053805902,0.02957710906411,0.2600856423377991,0.0394648276269435,0.0209951475262641
PA-SPn,0.0007715544197708,0.0277768684298795,0.5130776166915894,0.0439715646207332,0.0231022574007511
PA-SPs,0.0011576524702832,0.0340242923553629,0.539394736289978,0.0534232929348945,0.0288694780319929
RU-Che,0.0003164791269227,0.0177898602277473,-1.8724558353424072,0.0291962251067161,0.0147552052512764
RU-Cok,0.000264146918198,0.0162525972754539,-0.4851939678192138,0.0251345206052064,0.0128397112712264
RU-Fy2,0.0006186635582707,0.0248729483228422,0.589267373085022,0.0316042192280292,0.0171331260353326
RU-Fyo,0.0006258819485083,0.0250176327518876,0.4551146626472473,0.0333312861621379,0.0176903810352087
