site,test_loss,mse,r2,relative_error,mae,rmse
NL-Hor,0.0037959646433591,0.0037959672044962,0.8257211446762085,0.1142905578017234,0.0363294333219528,0.061611421406269
NL-Loo,0.0026919019874185,0.0026919010560959,0.8458160161972046,0.0784411504864692,0.0318165682256221,0.0518835335969924
PA-SPn,0.0019939765334129,0.0019939765334129,0.8567935824394226,0.0738521218299865,0.0297917425632476,0.0446539632976055
PA-SPs,0.0050424747169017,0.0050424770452082,0.8676506280899048,0.1325091272592544,0.0445262938737869,0.0710104033350944
RU-Che,0.002678345888853,0.0026783449575304,0.7018945217132568,0.2034883499145507,0.0282089803367853,0.0517527274787426
RU-Cok,0.0061622760258615,0.0061622764915227,0.7825138568878174,0.1359421610832214,0.0550894625484943,0.0785001665353775
RU-Fy2,0.001324288547039,0.0013242876157164,0.8854612708091736,0.0543459840118885,0.0199175328016281,0.0363907627761364
RU-Fyo,0.0028747338801622,0.0028747373726218,0.8507919311523438,0.1026715189218521,0.029911819845438,0.0536165758967399
RU-Ha1,0.0013193278573453,0.0013193280901759,0.8151127696037292,0.085618682205677,0.0213333163410425,0.0363225564360618
SD-Dem,0.0082234079018235,0.0082234097644686,0.3707367181777954,0.1702206879854202,0.0458881594240665,0.0906830206513404
SE-Deg,0.0003220790240447,0.0003220787039026,0.8062388300895691,0.0229215882718563,0.0097772143781185,0.0179465506225824
SE-Htm,0.0032561034895479,0.0032561025582253,0.7954046726226807,0.0764928013086319,0.031950794160366,0.0570622682571411
SE-Lnn,0.002411393681541,0.002411393681541,0.7071635723114014,0.1834978759288787,0.0240164939314126,0.049105942249298
SE-Nor,0.0012764398707076,0.0012764391722157,0.8861480951309204,0.0440742634236812,0.0217171628028154,0.0357272885739803
SE-Ros,0.0011657379800453,0.001165737514384,0.9060176610946656,0.0654476657509803,0.018483493477106,0.0341429002583026
SE-Svb,0.0015357579104602,0.0015357577940449,0.899466335773468,0.0720795020461082,0.0235240031033754,0.0391887463629245
SJ-Adv,0.0004045148671139,0.0004045148962177,-3.994962215423584,0.0742236226797103,0.0173085145652294,0.0201125554740428
US-A32,0.0020701424218714,0.002070142654702,0.735126256942749,0.1240434497594833,0.0312718823552131,0.0454988218843936
US-AR1,0.0009323009289801,0.0009323010453954,0.3641673922538757,0.0359043292701244,0.0177198462188243,0.0305336043238639
US-AR2,0.0016654999926686,0.0016654997598379,0.1677321791648864,0.047275673598051,0.0224104523658752,0.0408105365931987
US-ARM,0.0024729405995458,0.0024729399010539,0.595072865486145,0.0674505457282066,0.0284923519939184,0.0497286617755889
US-ARb,0.0028391201049089,0.0028391201049089,0.1831356287002563,0.084808625280857,0.0313391126692295,0.0532833933830261
US-ARc,0.0032631352078169,0.0032631356734782,0.6447311639785767,0.1010336950421333,0.0371398851275444,0.0571238622069358
US-Atq,0.0031998045742511,0.0031998057384043,0.759324848651886,0.0898844301700592,0.0350058376789093,0.0565668269991874
US-BZB,0.0004310352960601,0.0004310354415792,0.8872200846672058,0.0225156415253877,0.0122043564915657,0.0207613930106163
US-BZF,0.0008040115935727,0.0008040111279115,0.829299807548523,0.0310292560607194,0.0162395946681499,0.0283550899475812
