site_left_out,mse_scaled,r2_scaled,relative_error,mae_scaled,rmse_scaled
US-Prr,0.0054048663,-0.659003496170044,inf,0.056049805,0.0735178
US-Ro1,0.016437866,-1.555250644683838,inf,0.12151788,0.12821025
US-Ro4,0.01857853,-0.5565657615661621,inf,0.13178658,0.13630308
US-Ro5,0.03664223,-3.089874267578125,inf,0.18511128,0.1914216
US-Ro6,0.012264708,-0.1922168731689453,inf,0.097616136,0.110746145
US-SRC,0.008361002,-1.3573405742645264,inf,0.083277434,0.09143852
US-SRG,0.0023308536,0.5758782625198364,inf,0.03464892,0.048278913
US-SRM,0.004810834,-0.3751912117004394,inf,0.06111961,0.069360174
US-Seg,0.011401775,-2.5348386764526367,inf,0.102493495,0.1067791
US-Ses,0.0024160668,-0.0237001180648803,inf,0.041867252,0.049153503
US-Sne,0.0058950274,0.0285265445709228,inf,0.052867375,0.07677908
US-Snf,0.0048015905,0.6665135622024536,inf,0.043036006,0.06929351
US-Syv,0.0083027845,0.3341230750083923,inf,0.08392481,0.09111962
US-Ton,0.012557058,-7.056234359741211,inf,0.1066883,0.112058274
US-Tw3,0.0067714616,0.6287287473678589,inf,0.05315213,0.08228889
US-Tw4,0.0038217772,0.6856398582458496,inf,0.043054644,0.061820526
US-Twt,0.005261129,0.6320385932922363,inf,0.052660163,0.07253364
US-Var,0.01816442,-6.718138217926025,inf,0.13118005,0.13477544
US-WCr,0.015458032,-1.4048478603363037,inf,0.11536295,0.124330334
US-WPT,0.0039081736,0.3492294549942016,inf,0.053275965,0.062515385
US-Whs,0.001097291,0.1006723046302795,inf,0.02372016,0.033125382
US-Wi0,0.010904809,-2.1276235580444336,inf,0.08698351,0.10442609
US-Wi1,0.0075892746,0.7200047969818115,inf,0.057756737,0.08711644
US-Wi2,0.006759812,-0.0480016469955444,inf,0.069933146,0.08221807
US-Wi3,0.0045442726,0.6997907757759094,inf,0.05066682,0.06741122
US-Wi4,0.014801706,-0.9985815286636353,inf,0.11236065,0.12166226
US-Wi5,0.0031007584,0.0030570030212402,inf,0.04462941,0.055684455
US-Wi6,0.0030356618,0.1025389432907104,inf,0.04187239,0.05509684
US-Wi7,0.008778406,-0.3675071001052856,inf,0.07984365,0.09369315
US-Wi8,0.018847162,-0.6468087434768677,inf,0.1314493,0.13728496
US-Wi9,0.011962266,-1.7714877128601074,inf,0.09840433,0.10937215
US-Wjs,0.0021512748,0.45337575674057,inf,0.039810892,0.04638184
US-Wkg,0.009155835,-1.2354304790496826,inf,0.088372715,0.09568613
US-xAE,0.023546211,-3.928098201751709,inf,0.14866972,0.15344775
US-xBR,0.019093381,-1.7250213623046875,inf,0.134478,0.1381788
US-xCL,0.002990532,-0.1523365974426269,inf,0.037295114,0.054685757
US-xCP,0.047500625,-32.82960510253906,inf,0.21422738,0.21794638
US-xDC,0.0029903017,0.2786963582038879,inf,0.050462123,0.05468365
US-xDL,0.0044058566,0.4847372174263,inf,0.057319578,0.06637663
US-xDS,0.005554362,0.4595997333526611,inf,0.065405644,0.07452759
US-xGR,0.0036692508,0.6663323640823364,inf,0.04849277,0.06057434
US-xHA,0.006892417,0.3158283233642578,inf,0.07477813,0.08302058
US-xHE,0.0131429,-3.855382919311523,inf,0.11115902,0.114642486
US-xJE,0.00169135,0.7178312540054321,inf,0.031597454,0.041126028
US-xKA,0.0063278168,-0.6865907907485962,inf,0.072537884,0.07954758
US-xKZ,0.0017196763,0.7686465382575989,inf,0.029041236,0.04146898
US-xMB,0.004737072,-0.2217552661895752,inf,0.05523772,0.06882639
US-xML,0.036415488,-8.362441062927246,inf,0.1878068,0.19082843
US-xNG,0.0020624236,0.3957100510597229,inf,0.032185953,0.045413915
US-xNQ,0.0052701463,-1.5283410549163818,inf,0.06349172,0.072595775
US-xRM,0.008265369,0.1769110560417175,inf,0.08012154,0.09091407
US-xSB,0.0043138918,0.3486902713775635,inf,0.055054992,0.06568022
US-xSE,0.0026058552,0.5057827234268188,inf,0.04053533,0.05104758
US-xSR,0.12138269,-228.24693298339844,inf,0.3476603,0.34840018
US-xST,0.022694057,-0.5235793590545654,inf,0.14118592,0.15064546
US-xTA,0.0060326266,-0.4108564853668213,inf,0.06304483,0.077669986
US-xTR,0.0071534608,0.1128664016723632,inf,0.07758929,0.084578134
US-xUK,0.0018979578,0.555957555770874,inf,0.03733526,0.043565556
US-xUN,0.0031708872,0.7110083103179932,inf,0.042448226,0.05631063
US-xYE,0.0009205261,0.8063568472862244,inf,0.021277899,0.030340172
ZM-Mon,0.014567161,-0.2924343347549438,inf,0.11146241,0.120694496
